buysM5,buysH1,sellsM5,sellsH1,volM5,volH1,priceM5,priceH1,liquidity,marketCap,paidProfile,paidAd,websites,socials,boosts,pools,buysToSells,volToLiquidity,volToMC,liquidityToMC,liquidityToBuys,MCToBuys,poolsToLiquidity,buysToVol,priceToVol,priceToVol5M,score,highHolder,lowLP,mutable,unlockedLP,singleHolder,highOwnership,result
3,102,0,82,46.98,10604.26,31.59,232.0,10625.73,80264547.0,1,0,0,0,0,15,1.2439024390243902,0.9979794329424897,0.00013211636265760026,0.00013238385311014088,104.17382352941176,786907.3235294118,0.0014116677160063355,0.009618775850460098,0.021877999973595515,0.6724137931034483,400,0,400,0,0,0,0,Success
4,15,0,1,1173.11,4568.43,25.35,220.0,74032.85,1504658.0,0,0,0,0,0,1,15.0,0.06170814712657962,0.003036191612977833,0.049202443345929776,4935.5233333333335,100310.53333333334,1.350751727104927e-05,0.0032834037076194663,0.04815658771175217,0.021609226756229172,22454,0,400,100,11000,9500,1454,Failure
0,56,2,69,8.81,24092.14,-1.31,-95.89,7755.45,4019.0,0,0,0,0,0,2,0.8115942028985508,3.1064786698386295,5.994560836028863,1.9296964419009703,138.49017857142857,71.76785714285714,0.0002578831660316294,0.0023244095377164503,-0.003980136260207686,-0.14869466515323496,400,0,400,0,0,0,0,Failure
105,656,84,652,19483.27,192783.55,19.72,-60.45,23287.61,34831.0,1,0,0,1,0,3,1.0061349693251533,8.278374208431007,5.534826734805202,0.668588613591341,35.49940548780488,53.09603658536585,0.00012882386814275917,0.0034027799571073364,-0.00031356409818161356,0.0010121504244410718,400,0,400,0,0,0,0,Failure
174,830,202,688,730401.61,1589622.66,0.44,211.0,472507.14,87151114.0,1,0,0,0,0,17,1.2063953488372092,3.364229924652567,0.018239843268096377,0.005421699371507747,569.2857108433735,105001.3421686747,3.597829230686334e-05,0.0005221364924428041,0.00013273590350052007,6.024083106826667e-07,400,0,400,0,0,0,0,Success
1161,3793,217,643,189072.63,408569.17,-57.1,1073123.0,176595.01,6745441431.0,0,0,0,0,0,1,5.898911353032659,2.313594081735378,6.056967126307556e-05,2.6179904133245155e-05,46.55813604007382,1778392.1515950435,5.662674160498646e-06,0.00928361775314569,2.6265393446108525,-0.0003020003476970728,2400,1900,400,100,0,0,0,Failure
272,520,194,436,73789.23,123952.64,43.92,115.0,53137.6,187255.0,1,0,1,1,500,2,1.1926605504587156,2.332672909578152,0.6619456890336707,0.28377132786841475,102.1876923076923,360.1057692307692,3.7638131944235344e-05,0.004195150663995539,0.0009277737045374749,0.000595208812993441,1700,1300,400,0,0,0,0,Success
88,388,56,266,13025.58,69221.5,53.82,-31.39,27829.25,51212.0,1,0,1,1,0,2,1.4586466165413534,2.487364912816551,1.3516656252440835,0.5434126767163946,71.72487113402062,131.98969072164948,7.18668307625969e-05,0.00560519491776399,-0.00045347182595003,0.004131869751673246,400,0,400,0,0,0,0,Success
4,17,0,1,1970.18,5735.55,24.09,241.0,78120.76,1595910.0,0,0,0,0,0,1,17.0,0.07341902459730296,0.003593905671372446,0.04895060498399032,4595.3388235294115,93877.05882352941,1.2800694719303807e-05,0.0029639703254265067,0.042018638142811066,0.012227309179871889,22454,0,400,100,11000,9500,1454,Failure
766,2946,628,2453,286492.15,1165099.72,8.43,236.0,71277.7,305816.0,0,0,0,0,0,2,1.200978393803506,16.345921936313882,3.8098062887487902,0.2330738090878175,24.194738628649013,103.80719619823489,2.8059266783299686e-05,0.00252853893055609,0.00020255776904658427,2.9424890001349072e-05,400,0,400,0,0,0,0,Failure
101,1132,118,1012,12481.97,149839.69,-58.9,-78.86,17395.31,19250.0,0,0,0,0,0,3,1.1185770750988142,8.613798201929141,7.78388,0.9036524675324676,15.366881625441698,17.00530035335689,0.0001724602780864497,0.007554740669845219,-0.0005262958032014081,-0.0047188064063605345,2749,0,400,0,0,2349,0,Failure
344,3058,456,2774,82462.88,848827.62,-50.86,-18.08,36288.44,78773.0,0,0,0,0,0,3,1.1023792357606346,23.39113006786734,10.775616264456096,0.46067104210833665,11.866723348593853,25.759646827992153,8.267095526839952e-05,0.0036026160411698196,-2.1299966652828756e-05,-0.0006167623541646859,400,0,400,0,0,0,0,Success
2,88,3,72,46.26,18670.93,0.13,-94.74,8643.49,4820.0,0,0,0,0,0,2,1.2222222222222223,2.1601147221781942,3.873636929460581,1.7932551867219917,98.22147727272727,54.77272727272727,0.0002313880157205018,0.004713209250958575,-0.005074198232225175,0.002810203199308258,400,0,400,0,0,0,0,Failure
3,8,1,3,1181.62,1713.39,12.13,37.84,10839.92,6358.0,0,0,0,0,0,1,2.6666666666666665,0.15806297463449914,0.26948568732305755,1.7049260773828248,1354.99,794.75,9.225160333286592e-05,0.004669106274695195,0.02208487267930827,0.010265567610568543,11500,0,500,0,11000,0,0,Success
34,122,18,37,30203.51,47406.3,5.5,14988.0,18184.04,114655.0,0,0,0,0,0,1,3.2972972972972974,2.6070279211880307,0.4134691029610571,0.1585978805983167,149.04950819672132,939.7950819672132,5.4993279821205845e-05,0.0025734976152958573,0.31616051031192055,0.0001820980409230583,14101,0,400,0,10999,2702,0,Success
1281,3684,1222,3739,262124.45,982991.18,30.89,227.0,80550.28,389220.0,1,1,1,1,550,2,0.9852901845413212,12.203448330657572,2.5255412877036125,0.2069530856584965,21.86489685124864,105.6514657980456,2.4829212263445887e-05,0.0037477447152679433,0.0002309278095455546,0.00011784478708491328,400,0,400,0,0,0,0,Failure
37,136,4,20,5447.39,13822.64,18.29,144.0,29621.77,23076.0,1,0,0,0,0,1,6.8,0.4666378815310496,0.5990050268677414,1.2836613797885248,217.80713235294118,169.6764705882353,3.3758954984796657e-05,0.00983893091334217,0.010417691555303473,0.0033575712405390467,11399,0,400,0,10999,0,0,Failure
